tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DrugCLIP,EquiScore,GenScore,Glide SP,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,TANKBind
11BETAHSD1,0.629922872,0.514318868009553,0.6606406239433791,0.827625772,0.529824948514269,0.702956751985878,0.650387544500023,0.9265829632802134,0.9339539706512185,0.649869316,0.499977468,0.589991437970348,0.583727637,0.7852264274282718,0.563832184,0.590504560164754,0.7170389739197136,0.507029876977153
17BETAHSD1,0.475884583,0.522546335299073,0.34585470085470116,0.701558551,0.532771693344566,0.724915754001685,0.456760741364785,0.44660256410256194,0.8632478632478632,0.653548863,0.574799916,0.727243049705139,0.394450295,0.8847863247863239,0.472114575,0.553348778433024,0.753739316239322,0.698756323777403
A2A,0.536994949,0.664856902356902,0.857541666666657,0.710118544,0.774569573807507,0.757514817950889,0.74246632996633,0.9188333333333257,0.9166041666666722,0.673684764,0.636279461,0.723390151515152,0.660669192,0.8898958333333148,0.643002946,0.787531752751905,0.894354166666647,0.709006734006734
ACE,0.421274344,0.919006276150628,0.9608125000000005,0.950132922,0.800543478260869,0.89878762541806,0.786966527196653,0.9995416666666667,0.996166666666667,0.551506276,0.480606695,0.802730125523012,0.410543933,0.9951875000000002,0.513378661,0.826045150501672,0.9909375000000004,0.969472361809045
ACE2,0.38513202,0.860633861551293,0.9883333333333336,0.990512927,0.724152071170419,0.91743119266055,0.592608423686405,1.0,1.0,0.638782319,0.318703086,0.750896580483736,0.458673895,0.9985833333333334,0.676303169,0.876897414512093,0.998875,0.796091137123746
ACHE,0.68411304,0.738474576271187,0.9647746243739587,0.808023649,0.569587556306306,0.755827702702702,0.542129237288136,0.9893363939899835,0.9260851419031723,0.526481795,0.539426334,0.673636363636364,0.529000847,0.9574081803005077,0.589944962,0.505996621621621,0.9497078464106913,0.733538657604078
ADAM17,0.567972103,0.891659663865546,0.9838407005838201,0.919033613,0.846764705882352,0.770525210084033,0.719758403361344,0.9999582985821518,0.9994370308590492,0.575598739,0.730084034,0.849579831932773,0.59762605,0.9997080900750626,0.444485294,0.813081232492997,0.9988115095913261,0.968571428571428
ADRB2,0.621295045,0.630681818181818,0.8746874999999817,0.74920237,0.574118808872683,0.744963536918869,0.761262376237624,0.9267083333333214,0.8848958333333334,0.616617912,0.681863186,0.765886588658866,0.548514851,0.8896458333333266,0.640279028,0.565071406867213,0.8120625000000018,0.740301530153015
AKT1,0.616427754,0.533963703255042,0.850270833333326,0.668925788,0.699077822762033,0.729982006297795,0.677546716916796,0.9523333333333327,0.9199791666666582,0.618435516,0.586692689,0.785180698566525,0.68757431,0.9645833333333336,0.585660767,0.713090418353576,0.9619791666666667,0.754479321029234
ALR2,0.54377734,0.601993670886076,0.4941041666666648,0.711952862,0.587338664421997,0.679461279461279,0.394335443037975,0.6880624999999985,0.7057499999999964,0.671110877,0.420383642,0.529359673024523,0.461235245,0.3631874999999998,0.455543845,0.608101851851852,0.4763541666666662,0.362246621621622
AR,0.823211314,0.813032166508988,0.9383973288814703,0.898254576,0.885077743315291,0.858967341725962,0.872930463576159,0.9763564273789666,0.9612479131886494,0.830150189,0.706362346,0.873226111636708,0.66689333,0.7768781302170297,0.605162015,0.939710920553832,0.7108514190317238,0.913079470198676
AURKA,0.712763386,0.585101491164685,0.9016666666666585,0.961688493,0.929859105627023,0.85658965607771,0.82229740086273,0.9975208333333334,0.9207083333333324,0.623869583,0.602958243,0.808294466706081,0.767150584,0.9880416666666667,0.69635858,0.930639421253755,0.9692083333333336,0.830037881276139
AURKB,0.639095745,0.572702127659575,0.6953502919099256,0.942777778,0.905122193805058,0.799126172208013,0.745797872340425,0.9982693911592994,0.9750417014178485,0.555670213,0.592457447,0.766977292202228,0.743893617,0.9903878231859883,0.64893617,0.907686842853083,0.9790241868223519,0.856468085106383
BCL2,0.628835587,0.435386728655959,0.8946874999999932,0.805148936,0.617191489361702,0.453,0.568977176669484,0.940583333333318,0.9598958333333276,0.545836855,0.626901944,0.583727810650888,0.749387151,0.915791666666673,0.689137785,0.599177304964539,0.9106249999999954,0.897269263336156
BRAF,0.61965812,0.593491124260355,0.7728749999999982,0.748597654,0.81115285742535,0.779293828137015,0.74585798816568,0.9992291666666667,0.9918958333333338,0.776013588,0.568167872,0.691858426473811,0.670940171,0.9849583333333334,0.573789174,0.871428676055925,0.9837083333333333,0.932741617357002
CATL,0.6503772,0.77323973176865,0.9387499999999942,0.802348993,0.570707494407159,0.746833053691275,0.652567057837385,0.978458333333326,0.9761458333333244,0.666753982,0.53110855,0.7543692372171,0.565108969,0.95018749999998,0.684409053,0.641463926174496,0.92210416666665,0.58550755033557
CDK2,0.68986808,0.690992647058823,0.6801041666666661,0.884160284,0.811494252873563,0.822855879752431,0.747015570934256,0.9780208333333336,0.9321041666666514,0.644214965,0.570339533,0.76532223183391,0.712305363,0.9411458333333194,0.655644464,0.85911435307987,0.8748749999999903,0.644831314878893
COX1,0.655850471,0.549586090751678,0.740679733110927,0.703103914,0.651750834576319,0.771622037550015,0.598128513484665,0.9666597164303593,0.9734361968306929,0.621812662,0.454647881,0.658364761972533,0.582532793,0.8851542952460412,0.450568087,0.715762640970397,0.9242910758965819,0.635831020659883
COX2,0.910592744,0.636473270336351,0.8961634695579658,0.665519865,0.815508286744516,0.898474974362367,0.726194409568493,0.9984361968306922,0.9955796497080901,0.882409304,0.478275953,0.893342780983231,0.567187603,0.979503753127607,0.385928104,0.871238435497921,0.9782735613010848,0.551523371596811
CTSK,0.583075314,0.799351464435146,0.8293541666666655,0.911785714,0.564649859943977,0.728235294117647,0.658085774058577,0.9764583333333338,0.9314999999999957,0.707594142,0.528023013,0.729330543933054,0.540271967,0.9585833333333339,0.615094142,0.66656862745098,0.87310416666666,0.708626465661642
CYP2A6,0.642799665,0.669186046511628,0.47996246872393666,0.756480396,0.491272632538752,0.76888758629673,0.539874031007752,0.770934111759801,0.8053794829024202,0.651522467,0.464529419,0.575581395348837,0.45007725,0.646601334445371,0.284617613,0.543539142894359,0.6458924103419528,0.346884253894683
DHFR,0.538006757,0.746896114864865,0.8678690575479598,0.874638912,0.758248371566128,0.712234494477485,0.738397381756757,0.9658256880733952,0.9706213511259387,0.638756334,0.516089527,0.717124155405405,0.648606419,0.9602168473728115,0.618549409,0.813147833474936,0.9629274395329447,0.895583262890955
EGFR,0.64418129,0.566983331134274,0.5878237259816234,0.897104332,0.815876160082168,0.797182788599097,0.742182345955931,0.9385547201336741,0.820655806182112,0.635308088,0.546675023,0.704380525135242,0.744271452,0.9388053467000845,0.606390465,0.82150324639595,0.8430659983291606,0.635462022254475
EPHB4,0.700745315,0.581100936967632,0.6335487906588816,0.670699101,0.876761867416073,0.648628629937041,0.720272572402044,0.9745204336947458,0.8963302752293589,0.728460392,0.497593697,0.719463373083475,0.615034072,0.9684528773978318,0.750798552,0.838202296146221,0.8565054211843218,0.794314310051107
ER-BETA,0.782732694,0.833336975524475,0.9865625000000002,0.985817942,0.961358516721538,0.932117483971582,0.906861888111888,0.9647708333333314,0.9686666666666636,0.818728448,0.734935345,0.826573426573427,0.587931034,0.8985624999999863,0.528426724,0.916868826893086,0.8433541666666657,0.927280701754386
ERBB2,0.799748028,0.888728448275862,0.8674728940784007,0.854921158,0.97340955731457,0.972295514511873,0.709762931034483,0.9675562969140958,0.9902210175145955,0.859538899,0.700579108,0.933599137931034,0.907255245,0.9795037531276063,0.70430507,0.988881559659923,0.903482068390327,0.958448275862069
FGFR1,0.661808604,0.636962247585601,0.8670624999999824,0.944006999,0.870113860498476,0.751837905684059,0.81044776119403,0.9942916666666669,0.937895833333329,0.672805092,0.555158033,0.760338015803336,0.841154522,0.9939583333333334,0.670687006,0.887073396688781,0.9853124999999977,0.838654353562005
FKBP1A,0.514735077,0.758316054175674,0.9616250000000004,0.772614786,0.700156141823913,0.732445092580317,0.572826134909781,0.9996458333333333,0.9918750000000003,0.648211056,0.705254334,0.728228261349098,0.49602947,0.978583333333334,0.51793356,0.693807356342156,0.9779166666666668,0.636828870163674
FXA,0.769564058,0.75926543127583,0.9561874999999919,0.829638533,0.840589387464387,0.879162215099715,0.762531662445007,0.9970208333333334,0.991375,0.747433676,0.692229925,0.849564502510776,0.694307426,0.9773541666666647,0.770130649,0.873664529914529,0.9611458333333339,0.896391592232147
GBA,0.451297071,0.525062761506276,0.7228678929765899,0.759225941,0.34728730822873,0.536046025104602,0.528274058577406,0.84009197324415,0.7713210702341157,0.430962343,0.435774059,0.44336820083682,0.411485356,0.5374581939799339,0.426056485,0.447468619246861,0.601525919732441,0.757558626465662
GR,0.426365368,0.684520287404903,0.8155416666666618,0.577878916,0.653288173863957,0.610351397121083,0.759182163989856,0.9747708333333309,0.9481249999999951,0.637996619,0.56600803,0.598013524936602,0.517814877,0.8699791666666731,0.575528318,0.608135760654812,0.8615625000000088,0.722759932375317
GSK3B,0.687704213,0.689522375215146,0.5655337781484575,0.878906604,0.906129888073138,0.843728641665013,0.803840361445783,0.9714970809007512,0.9430567139282744,0.549678388,0.656753859,0.808843360995851,0.702830189,0.9085904920767325,0.666788165,0.876586487936444,0.8710175145954987,0.757525728987993
HDAC2,0.803290034,0.701916524701874,0.9064166666666579,0.940665236,0.748070325900514,0.726415094339622,0.757751277683134,0.9992083333333334,0.9946250000000004,0.723413543,0.634241908,0.801724872231687,0.581175468,0.9817291666666528,0.674126917,0.707168381932532,0.9905833333333318,0.76028534923339
HDAC8,0.698597152,0.717074958123953,0.9054999999999853,0.961913378,0.610439330543933,0.642782426778242,0.784338358458961,0.9966666666666669,0.974770833333326,0.419095477,0.406427973,0.782736599664992,0.379962312,0.9606249999999831,0.32160804,0.44044630404463,0.9760833333333169,0.802032690695725
HIV1PR,0.736371771,0.804082708662861,0.8597916666666592,0.930437965,0.797779675491033,0.765035988776381,0.754888476262522,0.98102083333333,0.9753124999999939,0.694713798,0.784918506,0.802558283474314,0.724296816,0.9657291666666468,0.833092635,0.777040380627058,0.9670833333333162,0.929275069461985
HIV1RT,0.57436052,0.614715860899067,0.7426065162907288,0.688421246,0.679473366496267,0.654058638791463,0.70637471541449,0.9667293233082715,0.9348997493734391,0.537498326,0.525780099,0.61786304182849,0.574617205,0.9418546365914818,0.550823624,0.677035814440394,0.8186090225563898,0.441386545243516
