tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DrugCLIP,EquiScore,GenScore,Glide SP,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,TANKBind
11BETAHSD1,0.116372781,0.0533996334745465,0.014923842896342594,0.292441731,0.00200865656619578,0.140122983276355,0.0097133244255196,0.6535165130456012,0.660500069998432,0.208324808,0.075186127,0.0650573207675738,0.09481493,0.4403969041227481,0.073410557,0.0134193463283183,0.35321312890628515,0.0993976169058514
17BETAHSD1,0.088471798,0.0003428338075914,0.001988857613525056,0.091683166,0.0512057964640303,0.196712056535651,0.0606308938591715,0.21253272572348036,0.36434892709925526,0.022702882,0.033347683,0.115355680882254,0.09727896,0.22484525362807473,0.080031544,0.0380321715654263,0.15305520246594892,0.0692510941097602
A2A,0.000779083,0.0414711174896131,0.4999999327000645,0.304722978,0.44641594011815,0.452910943972512,0.0661780645652563,0.9634437496801133,0.9439913786368023,0.116967721,0.1225069,0.176110587716334,0.028266089,0.8754920115462492,0.067759512,0.609498825712368,0.7728823446633886,0.10310767428288
ACE,0.061630898,0.833193717176304,0.7895157229091988,0.780598976,0.850872593806981,0.777356386614428,0.402171126470263,0.9958943834155985,0.994599798905016,0.031166793,0.127251345,0.740418031029331,0.110256165,0.9505659071758927,0.089301885,0.888237487372541,0.8929050121749957,0.728309797288724
ACE2,1.71e-05,0.444686264543866,0.9310295698818353,0.918422057,0.100558163586556,0.386583338718244,0.0295085472815123,1.0000000000000016,1.0000000000000016,8.01e-05,0.006963544,0.290819413362092,0.038347531,0.9686714055977547,0.217992986,0.450694673871925,0.9809407482171194,0.241323751554573
ACHE,0.180239197,0.20119164117651,0.8195410058457975,0.122186137,0.066327836427863,0.129186835433268,0.002785264483149,0.9358234147289711,0.8160029435109352,0.054214934,0.118357101,0.998399931276906,0.07390307,0.929462066553502,0.424739542,0.000438990071288446,0.9185347989942834,0.383009070413561
ADAM17,0.256878187,0.769012210572572,0.9194238586876092,0.835257065,0.573798091862692,0.301462305300439,0.0800185061757285,0.9992987848600821,0.9934542840411679,0.054011628,0.200984984,0.692542108283802,0.132902616,0.9925042497262627,0.077930454,0.649229603619991,0.9649932240096513,0.92187188483893
ADRB2,0.088297914,0.167353901928315,0.26770633136230687,0.590329061,0.0342780776274653,0.173028977438675,0.186494393857101,0.8148843530703298,0.7853810888225995,0.104912683,0.148976949,0.2275988818619,0.003060028,0.4775438564104187,0.266309693,0.0446150829046167,0.3060075209484735,0.26177908348443
AKT1,0.029664243,0.342255106332305,0.5504842502741597,0.284703541,0.291921411272088,0.179645272990363,0.265379785729957,0.9054344992061758,0.8122738108866115,0.161915577,0.011525695,0.441197159592686,0.238056014,0.6165399753177124,0.073014302,0.427870383248145,0.5976689084976865,0.289747196853456
ALR2,0.068853453,0.197248768059374,0.04560805513199033,0.096624552,0.231408187952784,0.262456091870105,0.014177660543856,0.5401379042951727,0.5556047194149704,0.206640634,0.068865503,0.108487176702356,0.024983668,0.06536915912660174,0.101930999,0.266808345132147,0.05892054963353256,7.03219791418115e-07
