tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DrugCLIP,EquiScore,GenScore,Glide SP,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,TANKBind
11BETAHSD1,2.491452991,2.564102564,0,10.664,0,2.44375,0,25.6964657,30.83575884,10.05982906,2.514957265,2.564102564,2.514957265,15.41787942,2.514957265,0,12.84823285,2.743589744
17BETAHSD1,2.359615385,0,0,2.556,1.573076923,4.719230769,2.5,9.775147929,12.21893491,0,0,5,4.719230769,4.887573964,2.359615385,0.786538462,4.887573964,2.554166667
A2A,0,0,19.07692308,10.175,16.43653846,16.43653846,2.5,31,31,2.361538462,2.361538462,5,0,31,2.361538462,23.48076923,28.61538462,2.558333333
ACE,2.348076923,30,31,29.028,30.9,23.76923077,15,31,31,0,4.75,27.5,4.75,28.61538462,2.375,30.9,28.61538462,28.27916667
ACE2,0,12.5,31,28.394,3.176923077,9.530769231,0,31,31,0,0,7.5,2.382692308,31,9.530769231,16.67884615,31,7.725
ACHE,4.696153846,5,30.95,2.55,1.569230769,4.707692308,0,30.95,28.56923077,2.348076923,2.348076923,0,2.348076923,30.95,16.43653846,0,30.95,12.67708333
ADAM17,9.269230769,30,30.975,28.188,19.71153846,9.461538462,2.5,30.975,30.975,2.365384615,9.461538462,22.5,4.730769231,30.975,2.365384615,24.44230769,30.975,30.75
ADRB2,2.395833333,5,7.153846154,20.673,0.789583333,4.7375,5,28.61538462,28.61538462,2.397916667,4.795833333,2.5,0,16.69230769,9.591666667,0.789583333,11.92307692,7.847727273
AKT1,0,15.38461538,19.07692308,10.946,10.07692308,5.038461538,7.692307692,31,31,5.051282051,0,17.94871795,7.576923077,23.84615385,5.051282051,13.43589744,19.07692308,11.01165501
ALR2,2.464583333,7.5,0,5.117,6.297435897,9.446153846,0,23.84615385,26.23076923,7.073076923,2.357692308,5,0,2.384615385,2.357692308,7.871794872,2.384615385,0
AR,12.83673469,14.28571429,21.42692308,11.778,21.31216931,16.82539683,3.571428571,21.42692308,26.18846154,6.448979592,3.224489796,10.71428571,0,26.18846154,9.673469388,22.43386243,16.66538462,18.80952381
AURKA,0,20.51282051,23.84615385,32.459,28.66272189,21.49704142,15.38461538,28.61538462,26.23076923,0,2.386587771,17.94871795,2.386587771,19.07692308,0,31.05128205,19.07692308,12.92735043
AURKB,0,7.5,14.29615385,22.688,26.43717949,18.66153846,5,30.975,30.975,4.673076923,2.336538462,7.5,4.673076923,23.82692308,9.346153846,26.43717949,26.20961538,15.1875
BCL2,2.351923077,0,31,10.125,3.115384615,0,2.5,31,31,2.351923077,0,5,4.703846154,31,4.703846154,3.894230769,28.61538462,27.98125
BRAF,2.384615385,2.564102564,9.538461538,2.709,5.550295858,2.378698225,0,31,31,11.92307692,2.384615385,0,2.384615385,21.46153846,0,11.89349112,21.46153846,10.33333333
CATL,0,10,23.84615385,10.267,0,2.369230769,2.5,31,28.61538462,0,2.371153846,5,0,7.153846154,2.371153846,0.78974359,0,0
CDK2,4.983333333,12.5,19.07692308,25.049,19.64173789,5.123931624,10,31,28.61538462,2.491666667,0,12.5,4.983333333,23.84615385,0,23.05769231,16.69230769,0
COX1,9.572649573,2.564102564,2.382692308,10.462,9.58974359,14.38461538,2.564102564,30.975,30.975,0,0,7.692307692,2.393162393,28.59230769,0,13.58547009,23.82692308,5.221445221
COX2,20.54054054,0,7.148076923,2.885,10.25825826,12.82282282,2.702702703,30.975,30.975,12.83783784,2.567567568,13.51351351,0,30.975,0,16.24224224,30.975,0
CTSK,2.375,10,0,17.938,4.730769231,7.096153846,2.5,26.23076923,23.84615385,2.375,2.375,10,7.125,11.92307692,4.75,12.61538462,0,2.570833333
CYP2A6,2.774691358,8.333333333,0,3.087,0,8.231481481,0,16.67884615,7.148076923,0,0,0,0,7.148076923,0,0,4.765384615,0
DHFR,2.353846154,22.5,28.59230769,20.283,26.52435897,2.340384615,7.5,26.20961538,28.59230769,0,0,12.5,4.707692308,26.20961538,0,24.96410256,28.59230769,20.38333333
EGFR,2.376725838,12.82051282,21.40961538,19.564,22.16436555,7.124260355,7.692307692,21.40961538,14.27307692,4.753451677,4.753451677,10.25641026,0,21.40961538,0,22.16436555,16.65192308,10.2991453
EPHB4,0,10,26.20961538,23.25,29.58053912,0,12.5,28.59230769,26.20961538,7.003846154,0,17.5,4.669230769,14.29615385,7.003846154,28.78106509,16.67884615,5.058333333
ER-BETA,12.6743295,20,31,29.425,25.28735632,25.28735632,20,31,31,0,6.352490421,20,3.176245211,31,0,28.44827586,28.61538462,2.681818182
ERBB2,4.920833333,17.24137931,23.82692308,10.668,27.79027778,29.425,3.448275862,30.975,28.59230769,17.26666667,0,20.68965517,14.8,21.44423077,0,29.425,21.44423077,28.5862069
FGFR1,0,15,28.61538462,28.993,21.06481481,20.22222222,12.5,31,31,0,0,20,7.36875,23.84615385,4.9125,30.33333333,23.84615385,13.375
FKBP1A,0,31.57894737,31,29.647,11.6099865,24.87854251,0,31,31,0,4.983805668,28.94736842,0,31,0,29.85425101,31,0
FXA,5.098290598,23.07692308,26.23076923,22.21,25.44871795,27.99358974,15.38461538,28.61538462,28.61538462,2.549145299,0,20.51282051,2.549145299,31,10.1965812,27.99358974,26.23076923,16.68531469
GBA,0,10,19.01538462,15.438,7.125,7.125,0,19.01538462,16.63846154,0,0,5,0,14.26153846,2.375,7.125,16.63846154,0
GR,0,10,14.30769231,2.544,2.348076923,2.348076923,5,31,31,4.703846154,7.055769231,5,0,23.84615385,0,9.392307692,16.69230769,0
GSK3B,11.56730769,17.5,7.148076923,26.316,23.70808679,21.33727811,7.5,30.975,26.20961538,0,6.957692308,12.5,9.276923077,23.82692308,13.91538462,24.49835634,19.06153846,5.025
HDAC2,14.00769231,15,9.538461538,25.104,3.092307692,20.87307692,7.5,31,31,2.334615385,9.338461538,7.5,7.003846154,31,2.334615385,8.503846154,28.61538462,0
HDAC8,0,5,7.153846154,33.297,0,0,0,31,31,0,2.373076923,2.5,2.373076923,16.69230769,0,0,31,2.56875
HIV1PR,20.20790021,24.32432432,14.30769231,34.457,31.80659341,18.55384615,18.91891892,26.23076923,26.23076923,0,5.056133056,27.02702703,7.584199584,31,17.6964657,30.03956044,31,16.40540541
HIV1RT,0,5.263157895,23.78846154,10.955,10.11226611,5.056133056,10.52631579,30.925,23.78846154,2.463562753,0,5.263157895,0,23.78846154,4.927125506,10.11226611,14.27307692,0
HMGR,4.85,30,31,0,30.9,30.9,25,31,31,16.65192308,4.757692308,25,4.757692308,31,2.378846154,30.9,31,5.154166667
HSP90,0,12.5,19.07692308,10.108,18.66153846,4.665384615,5,31,31,2.334615385,2.334615385,12.5,2.334615385,31,0,25.65961538,28.61538462,12.64583333
IGF1R,2.478632479,2.564102564,16.69230769,13.696,8.421052632,7.578947368,0,31,28.61538462,0,2.482905983,2.564102564,4.965811966,28.61538462,0,10.10526316,21.46153846,13.51981352
INHA,7.061538462,0,0,2.554,4.715384615,16.50384615,0,14.30769231,14.30769231,4.711538462,2.355769231,0,0,4.769230769,7.067307692,3.929487179,2.384615385,0
ITK,0,10,11.90384615,15.577,7.794871795,0,5,23.80769231,23.80769231,2.342307692,2.342307692,2.5,0,21.42692308,2.342307692,4.676923077,21.42692308,0
JAK3,12.46875,15,16.69230769,25.007,28.13461538,15.34615385,10,28.61538462,16.69230769,2.49375,0,20,2.49375,21.46153846,4.9875,27.28205128,21.46153846,10.87272727
JNK1,10.5,10.52631579,2.384615385,20.329,24.39766082,10.45614035,10.52631579,28.61538462,28.61538462,5.25,0,10.52631579,0,21.46153846,0,26.14035088,19.07692308,5.727272727
JNK2,9.965811966,10.25641026,9.538461538,11.024,14.83333333,9.888888889,10.25641026,31,31,7.506410256,0,7.692307692,0,21.46153846,0,17.30555556,26.23076923,8.181818182
JNK3,2.384615385,5.128205128,4.769230769,16.029,19.88823143,9.546351085,10.25641026,28.61538462,31,4.769230769,9.538461538,7.692307692,2.384615385,21.46153846,2.384615385,23.86587771,14.30769231,15.5
