tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DeepDTA,Denvis-G,Denvis-R,DrugCLIP,EquiScore,Flexx,GNINA,GenScore,Glide SP,Gold,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,Surflex,TANKBind,Vina
AA2AR,0.569191611,0.523712704213511,0.59,0.84,0.43,0.9038616544265078,0.618509835,0.74,0.74,0.864301505569206,0.845206369144332,0.87,0.691432203208785,0.9776616465572399,0.9670433009943654,0.747897226,0.704371111,0.765950676821054,0.664239585,0.9729632472607204,0.655787704,0.892642570322947,0.9529644869025713,0.77,0.808581659821446,0.65
ABL1,0.697819617,0.541091274553943,0.65,0.89,0.9,0.5801235611880489,0.716984717,0.85,0.79,0.786674509261181,0.81389811547067,0.9,0.719513228376045,0.9508771678679417,0.8834379540623928,0.708122432,0.611139275,0.787517326460652,0.78707384,0.9468622472717007,0.753156341,0.79672917675824,0.9032441458234838,0.76,0.86194735759819,0.78
ACE,0.526281492,0.817151326167231,0.41,0.9,0.96,0.9431836837866662,0.871962035,0.61,0.61,0.784051063566961,0.894511219856166,0.74,0.699770399705294,0.9918209411952464,0.873512941341472,0.555219374,0.374978137,0.738979026565925,0.379398772,0.9767501766646601,0.609823519,0.837700578224596,0.9306840564302666,0.77,0.940398254769857,0.56
ACES,0.655411007,0.505507518128276,0.62,0.81,0.82,0.8461023730683381,0.711808405,0.57,0.62,0.59246350082513,0.657882397551322,0.75,0.484626694293043,0.9705186964950488,0.8029665037958668,0.692960886,0.650629506,0.626582382909921,0.498281632,0.9815345191946413,0.597211631,0.594656606658232,0.9736284694177371,0.73,0.777409844769958,0.78
ADA,0.608803798,0.80913826115436,0.61,0.99,0.99,0.9856308572556005,0.628429446,0.55,0.76,0.860102263328069,0.698060004511617,0.91,0.588898616324737,0.9999980270296932,0.9999921081187728,0.56862531,0.506048856,0.82689922936314,0.630548138,0.9323192265956511,0.508254324,0.939944040113819,0.9900897701489609,0.83,0.871896668038305,0.57
ADA17,0.763312967,0.848094629311259,0.5,0.99,0.98,0.9896517306638773,0.953956983,0.6,0.82,0.968828629040771,0.885249739774775,0.77,0.878729718270845,0.9996206563211208,0.995841096682374,0.687724433,0.763704315,0.90533483910596,0.631969106,0.9996741749903424,0.6390486,0.909149874149854,0.9968334961934219,0.92,0.925663253502033,0.71
ADRB1,0.60490448,0.596118827705505,0.54,0.9,0.62,0.8247753966324243,0.733464075,0.76,0.63,0.886838085430145,0.852841316101936,0.86,0.59663279028637,0.970878456674446,0.7798537012550611,0.59998068,0.679219417,0.693702331043977,0.513977746,0.9067954780945244,0.614947918,0.898691255993812,0.7726363510024918,0.8,0.840598678014856,0.73
ADRB2,0.655327088,0.580611427516609,0.56,0.89,0.64,0.7916720786436842,0.788258643,0.84,0.71,0.829517155984072,0.875039557935937,0.87,0.65461636673704,0.9590164691511072,0.9632152973931293,0.618424457,0.692774725,0.680308103157378,0.482950012,0.9445461415057014,0.586649746,0.848150570164719,0.9175679412376816,0.81,0.785462635936791,0.71
AKT1,0.755526019,0.381469669108501,0.79,0.88,0.96,0.8116870127888041,0.759710045,0.73,0.76,0.722864052048585,0.807689222893374,0.91,0.603563123593413,0.8600165917452307,0.7427922603949892,0.667826616,0.640859577,0.807602806631702,0.684194302,0.8567721129202839,0.669999479,0.79559454446564,0.8148491138896578,0.63,0.817841844206867,0.76
AKT2,0.762622581,0.411506381701425,0.72,0.87,0.91,0.5358091895214947,0.704471502,0.86,0.81,0.887846938651657,0.879787610343267,0.94,0.686616468845099,0.9848134431951351,0.856195589664298,0.669157398,0.627370985,0.798873822091512,0.789423811,0.7626457552501785,0.704521795,0.903808674181539,0.7728424256846795,0.77,0.784235882414946,0.79
ALDR,0.622055576,0.508229195241143,0.45,0.56,0.6,0.4481525375732831,0.699367044,0.74,0.56,0.640788397762802,0.806191518304343,0.79,0.569707498958619,0.9763334626853597,0.9720781286598348,0.596736922,0.478297114,0.621340943033924,0.651909029,0.8045594862274956,0.547682546,0.620624544668063,0.9176432749151252,0.65,0.491320675624941,0.74
AMPC,0.51521458,0.564225112489087,0.46,0.86,0.86,0.7717324561403612,0.706095677,0.67,0.52,0.643627769891964,0.686849420392713,0.75,0.473749748158761,0.7300877192982501,0.6509356725146171,0.555808019,0.522142441,0.507960981397327,0.348394372,0.7025657894736919,0.434437331,0.729176523933443,0.782587719298246,0.49,0.341098748261474,0.61
ANDR,0.625379853,0.762703821040765,0.57,0.94,0.88,0.9056788932793007,0.711103661,0.41,0.79,0.878861373014614,0.8455874885752,0.57,0.758754480639698,0.9357704888356235,0.8871444221800441,0.612783206,0.638331176,0.738967137911479,0.624735862,0.7449507481413205,0.714495261,0.893499569632607,0.6557103649464745,0.57,0.822951097471145,0.63
AOFB,0.683316007,0.478642992104789,0.47,0.58,0.54,0.6143102927213275,0.601515594,0.71,0.51,0.639617251111534,0.723167023177634,0.84,0.456098294235989,0.8866570369965232,0.8821606790582514,0.697942022,0.519824095,0.59183229363122,0.532239917,0.8805948661324657,0.536862661,0.686866409271375,0.8893781723773961,0.68,0.452244701382431,0.78
BACE1,0.65129367,0.739083948435492,0.66,0.94,0.85,0.9386725971432034,0.711174821,0.76,0.82,0.849324081431868,0.817571517765921,0.78,0.740518564295301,0.9747796619963541,0.8449587340299346,0.72741712,0.507970936,0.785073494876531,0.597157884,0.8583382288656471,0.667732313,0.88371220721232,0.6943664966360406,0.8,0.867606818826331,0.72
BRAF,0.810011282,0.591944088218266,0.67,0.96,0.95,0.7757225731699461,0.7976255,0.89,0.83,0.886299225177729,0.88399507035021,0.91,0.791121387226234,0.9880053911920915,0.9729845195014029,0.825488117,0.624650171,0.820806749911965,0.747692702,0.962861484985073,0.809446023,0.87480903312679,0.9598616754491708,0.7,0.93393684013275,0.86
CAH2,0.464151607,0.482584839011062,0.75,0.97,0.94,0.7292963409418429,0.809046506,0.73,0.93,0.717943498568019,0.501885434383686,0.82,0.632321433068479,0.9987215212332758,0.9374043097781231,0.573228573,0.702691101,0.602704756972345,0.470015956,0.9966879572521474,0.646442013,0.730472794670755,0.9910814364882172,0.64,0.992842353920521,0.59
CASP3,0.671827822,0.704425031935278,0.53,0.92,0.63,0.8765975741259385,0.785861454,0.7,0.65,0.786476050084524,0.743065217894912,0.91,0.597848626783053,0.9529047763361617,0.9446023948636841,0.56644183,0.512927267,0.786932483500107,0.558193262,0.9016752768048409,0.491441612,0.804999532740694,0.9239577974023278,0.7,0.693347448599126,0.7
