tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DeepDTA,Denvis-G,Denvis-R,DrugCLIP,EquiScore,Flexx,GNINA,GenScore,Glide SP,Gold,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,Surflex,TANKBind,Vina
AA2AR,0.018912052,0.0561903434504277,0.05,0.53,0.0,0.5889269591752989,0.11699897,0.11,0.14,0.689371748974147,0.4232568717121,0.29,0.0886437162731649,0.9540145679036476,0.888823570995006,0.201896039,0.198375416,0.335809769549063,0.14844854,0.9073388443423037,0.021072049,0.778926473095196,0.6440513531617283,0.32,0.17286307371214,0.06
ABL1,0.235916434,0.37697967900808,0.12,0.73,0.63,0.4096053148761732,0.430856456,0.48,0.34,0.372821598571788,0.408341149781998,0.46,0.320835877616523,0.9058051760635397,0.6759062078939089,0.181524534,0.060036225,0.474722703749066,0.270375481,0.7773723364585721,0.11652103,0.443685867766422,0.463998055843438,0.3,0.497337765346874,0.25
ACE,0.131684298,0.726625416186229,0.0,0.48,0.52,0.6121036457076431,0.643960432,0.03,0.08,0.407685546390661,0.603918761581326,0.27,0.390017563846195,0.9535322654168343,0.14618913943732004,0.014603217,0.030521591,0.614538764362779,0.028127392,0.7473582255738829,0.270563343,0.659312292900835,0.27168799212911876,0.07,0.79718480218401,0.04
ACES,0.166476366,0.0543516569686507,0.14,0.38,0.09,0.5736429396351271,0.189838759,0.03,0.27,0.220311991419733,0.179403722777842,0.36,0.0191143590073502,0.9085273137014427,0.1742059399953119,0.193849136,0.23406576,0.0625640954758455,0.109913652,0.892812084268922,0.215079771,0.38366203351771,0.7384759546485483,0.34,0.393852890845768,0.25
ADA,0.052529439,0.490027606760217,0.03,0.85,0.67,0.9044510522941026,0.184573917,0.2,0.23,0.481384713385708,0.172555441892443,0.32,0.0631354910388413,0.9999262486711925,0.9996984579660684,0.089689872,0.127874872,0.563019870443259,0.142317578,0.8263006176545136,0.044120757,0.772801457415995,0.87954596120792,0.18,0.458985259998237,0.02
ADA17,0.419905246,0.720216292716123,0.01,0.95,0.89,0.8791235339760709,0.846966868,0.04,0.48,0.773207493893484,0.446471473571466,0.34,0.541245573972359,0.9881753800582572,0.9091390126292815,0.030903474,0.284226683,0.758356156271293,0.102106646,0.9909544789342712,0.202783985,0.639604937183932,0.9134423851899167,0.57,0.745165939256747,0.42
ADRB1,0.032501428,0.0797513107774051,0.04,0.38,0.01,0.33593143713356116,0.240030908,0.18,0.08,0.475069668010643,0.297053937745895,0.45,0.063636521078916,0.925541002587557,0.06480345251070191,0.042019463,0.081515617,0.145872413874515,0.044151193,0.22490212814434765,0.162778791,0.570493007909697,0.012353485628991554,0.26,0.375894965408503,0.08
ADRB2,0.066095824,0.0968487925568315,0.04,0.45,0.03,0.35149940643333016,0.334549942,0.34,0.13,0.295844078062005,0.51360011187917,0.42,0.102236127850963,0.929085200575622,0.9285609265527989,0.048629666,0.10290828,0.112221190373324,0.025396614,0.6742282386212289,0.076320374,0.418499516107807,0.5151780114456259,0.33,0.282708557107162,0.09
AKT1,0.084174619,0.122612010486283,0.1,0.36,0.58,0.24018669507638335,0.245702455,0.1,0.11,0.342285003753489,0.303909357223793,0.38,0.0702121189806154,0.4765109151005826,0.32076090778348254,0.101301954,0.081632441,0.371999475569466,0.148063863,0.2222589824469596,0.0232397,0.363240312020867,0.08472043758558073,0.08,0.220927855115237,0.13
AKT2,0.196643121,0.241388318795461,0.1,0.5,0.28,0.08028081946935048,0.334685038,0.24,0.22,0.591346671452711,0.472136477091194,0.63,0.312050331771511,0.8535349566938546,0.495619129658256,0.135931864,0.096134182,0.404278254188641,0.291343843,0.1572248790095447,0.018306006,0.667119220099067,0.05037463948215548,0.24,0.37123426819242,0.39
