tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DeepDTA,Denvis-G,Denvis-R,DrugCLIP,EquiScore,Flexx,GNINA,GenScore,Glide SP,Gold,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,Surflex,TANKBind,Vina
AA2AR,0.483357342,2.135231317,1.66,35.68,0.21,39.31225036,4.158,6.02,6.43,19.61260625,10.35877091,17.01,2.253855279,66.41701245,64.55485322,8.054116178,8.973703794,14.47212337,1.65820039,62.89960057,0.592214425,22.58212058,41.58822275,19.71,6.552732314,2.49
ABL1,7.757656066,16.89655172,8.24,51.65,41.21,26.2033966,19.343,27.78,20.44,21.11129817,23.13063973,26.92,14.13793103,60.04945055,45.85594406,6.155889382,2.031845842,19.65517241,5.129907818,45.85594406,3.7619324,26.06786382,22.38206793,17.03,22.44965517,13.26
ACE,3.525382905,21.92866579,0,29.08,32.27,37.52964704,18.29,1.42,4.29,24.62946134,39.81364382,14.54,11.49273448,59.8350033,7.081065479,0,0.790732192,19.81505945,0.263577397,45.31881907,7.248378431,46.1503499,12.74591786,2.48,21.94848831,2.86
ACES,6.900955188,2.300613497,8.83,20.97,3.31,37.29706245,8.762,1.35,15.45,12.61785729,9.746728088,22.52,0.153374233,56.93871072,9.269092442,8.268351197,14.33726875,1.840490798,3.674822754,52.96624253,9.3401745,23.49792585,39.94537457,20.31,18.12926572,14.57
ADA,0.759133043,12.21374046,0,59.14,40.86,59.60215054,4.976,10.75,13.98,28.3000512,8.490015361,18.28,1.526717557,59.60215054,59.60215054,1.880758094,3.009212951,13.35877863,1.128454857,57.4735023,0,51.29384281,57.4735023,9.68,10.33427079,1.08
ADA17,20.41601294,35.20678685,0.56,67.67,65.04,63.03157895,37.653,1.89,31.58,53.93496747,29.38392493,20.49,23.43584305,67.90902256,63.03157895,0.846235419,15.44379639,35.94909862,1.057794274,68.09661654,8.991251326,44.20476426,60.40526316,35.9,36.1626786,28.01
ADRB1,0.667326482,2.620087336,2.43,22.27,0,20.64136093,9.839,9.35,4.05,29.28179825,16.11842105,27.53,1.091703057,64.75721075,2.83312797,1.303855118,0.863936521,4.585152838,0.217309186,6.880453642,6.301966405,36.26644737,0,15.38,14.64597822,4.05
ADRB2,2.141607131,3.131991051,2.16,30.74,2.16,20.68279433,12.82,20,6.93,16.68074329,33.21768707,26.41,2.908277405,65.49551538,65.92640693,1.34049217,4.468307233,3.131991051,0.446830723,40.50380556,2.68098434,26.02771152,29.73151685,20.35,10.33295797,3.46
AKT1,3.094654088,5.700712589,4.44,17.75,31.74,13.26383471,9.747,5.17,4.1,19.71960088,15.38812785,20.48,2.850356295,29.58855436,18.70540793,4.01695818,2.818418567,16.86460808,4.253249838,8.50245815,0.708874973,20.97344833,3.40098326,4.44,8.363522434,5.46
AKT2,5.994780197,10.63829787,3.42,31.62,12.82,4.221138799,13.934,13.68,11.11,35.34398242,29.92837221,41.03,13.82978723,54.87480438,32.92488263,4.753237743,4.164741641,15.95744681,5.28137527,8.442277597,0,40.47456051,1.688455519,14.53,14.46519086,26.5
ALDR,6.488856937,0.917431193,0,5.66,1.89,1.251572327,5.994,11.95,8.81,15.7428015,32.11531506,23.9,7.798165138,57.57232704,57.57232704,1.368452205,0,5.963302752,7.298411759,1.251572327,7.754562494,11.5447211,36.29559748,7.55,0,9.43
AMPC,0,1.612903226,0,16.67,12.5,33.31034483,3.275,0,2.08,4.117816092,4.117816092,0,0,16.65517241,20.81896552,0,0,3.225806452,0,0,0,26.07950192,0,0,0,0
ANDR,8.304903226,17.29559748,1.49,32.71,21.56,37.46608793,16.793,0,8.55,27.69542404,31.22705529,1.12,12.57861635,41.91750432,31.53086608,5.962203677,3.138001935,10.06289308,2.824201742,20.03137374,7.217404451,33.08580858,12.24139507,4.09,22.17500153,17.84
AOFB,5.725087323,2.409638554,0.82,2.46,0,5.665781575,5.467,5.26,1.64,1.646989374,8.234946871,16.39,1.204819277,49.37323944,48.56384207,1.196727207,5.895641389,1.807228916,0,30.75709998,2.393454415,4.117473436,37.23227892,4.92,0,6.56
BACE1,6.400754909,16.63201663,0.35,50.53,19.43,39.18424489,9.356,11.11,20.85,31.18699122,14.99832402,25.44,8.108108108,64.60105239,19.06260562,2.079002079,1.663201663,10.3950104,2.286902287,16.59152712,4.158004158,46.66145251,8.825280381,17.31,14.41882129,4.59
BRAF,8.549180328,10.93117409,3.95,46.71,42.76,36.18421053,18.623,23.03,21.71,31.29218855,33.95535354,25,11.74089069,65.78947368,59.86842105,12.14574899,3.207112805,10.93117409,2.024291498,49.34210526,4.453441296,40.16940516,43.42105263,5.26,36.38910931,17.11
CAH2,1.187036178,5.623471883,1.42,63.62,63.21,3.247108307,22.674,7.39,26.22,23.34859347,0.81212499,16.7,6.84596577,64.13038906,21.7150368,0.366542513,11.69293383,11.36919315,0.610904188,63.92744479,6.964307749,24.63445804,59.2597266,3.05,37.06703087,0
CASP3,3.142939481,5.142857143,0,39.2,0,16.57378636,20.156,22.11,17.17,20.96611498,24.46046747,25.13,2.857142857,54.24148264,49.72135909,1.716874468,0.565612245,12.85714286,3.70960103,18.08049421,1.997477477,33.61234306,21.59614587,12.56,2.014181818,1.52
CDK2,8.535663822,16.37279597,2.74,44.51,30.8,22.719023,23.804,11.8,21.35,46.77483491,32.21952374,15.82,16.24685139,58.90117074,48.17274321,2.63568107,0.502034489,17.12846348,4.392801783,39.75829025,4.26729316,45.3616979,22.29830035,3.16,7.074254089,9.51
COMT,0,6.976744186,0,75.61,4.88,70.55034396,41.668,9.76,0,83.94579946,0,70.73,3.488372093,87.57973734,65.684803,3.482267442,0,5.813953488,0,55.95372108,0,72.64540338,48.65540963,2.44,2.380441264,4.88
CP2C9,2.197401822,2.197802198,1.67,10,5.83,0,2.779,9.09,5,2.474662162,2.474662162,5.83,6.043956044,12.44736842,11.61754386,1.096849817,0,3.846153846,6.032673993,0,4.935824176,0.824887387,1.659649123,3.33,5.131470454,3.33
CP3A4,2.138888889,0.862068966,3.53,2.94,3.53,0.586666667,2.894,4.19,1.2,8.517055085,5.608792373,12.35,0.862068966,12.32,21.12,3.482606189,0.569248163,1.724137931,4.591621545,2.346666667,3.443716158,6.231991525,2.346666667,8.82,4.362716763,1.8
CSF1R,7.916545894,20.21276596,4.82,43.37,27.11,23.32156044,25.341,24.54,19.28,48.40153195,25.41080427,19.28,21.27659574,73.55261368,35.87932375,2.478265843,1.41615191,22.34042553,2.124227865,56.80892927,12.03729124,47.59483975,41.26122231,3.01,16.76829268,1.2
CXCR4,0,0,2.5,30,2.5,29.52857143,0,0,15,9.168009768,0,2.5,0,29.52857143,39.37142857,0.833095238,1.619907407,2.5,0,0,0,7.501098901,0,15,6.003186275,0
DEF,20.75283719,27.21518987,0,53.92,48.04,56.84313725,37.025,0,31.37,57.827354,17.04737025,26.47,29.11392405,56.84313725,56.84313725,0,3.702531646,34.17721519,1.88264321,56.84313725,8.158120575,54.81899454,55.86308316,32.35,37.02531646,9.8
DHI1,6.392785571,6.432748538,1.21,0,2.12,0.302630365,9.562,0.63,10.91,0.808915907,1.82006079,8.79,4.873294347,40.85509922,38.73668666,5.833037405,1.166607481,3.118908382,3.888691604,18.46045224,3.110953283,1.415602837,23.60516844,3.64,3.329237797,4.24
DPP4,4.011339476,13.63636364,4.5,30.58,3.38,56.23906508,28.872,11.84,14.63,45.03690767,24.42892071,20.08,11.13172542,57.17638283,6.186297159,7.687131655,2.217492711,20.50092764,4.723418246,12.18513077,4.445570113,49.48422401,8.810786862,6.38,12.90010963,0.56
DRD3,1.530063651,2.873563218,1.04,7.92,1.04,3.741112717,4.699,2.51,8.16,0.97412706,4.801054794,11.04,1.034482759,50.29718208,56.32453035,6.070272117,0.911535873,4.827586207,1.942727635,35.95625,2.856952404,2.991961683,12.05469653,7.08,3.780323751,5.02
DYR,3.641738165,20.17857143,2.6,57.58,50.22,53.87755102,15.441,10.43,28.57,40.19852662,7.348117769,48.48,8.214285714,75.42857143,75.42857143,11.38506494,3.913616071,16.42857143,6.226207386,74.56653061,1.601024756,57.92045771,72.84244898,25.54,29.46383849,7.36
EGFR,3.597382688,13.68038741,2.58,62.36,46.49,35.40843319,27.526,19.29,22.69,34.72819166,24.4269341,25.09,18.40193705,57.354285,24.89655458,4.353074378,1.205790734,21.79176755,3.385724517,25.8186492,2.176537189,51.99976122,3.87279738,13.65,19.49111304,5.72
ESR1,24.35503827,28.92976589,2.35,53.26,9.14,51.4704722,26.197,31.73,24.8,41.90363036,47.94059406,24.61,18.06020067,54.86700082,51.20920076,6.015955624,11.64090658,30.43478261,4.679076597,9.667043001,13.49511772,45.3660066,3.396528622,27.15,31.60347489,18.54
ESR2,20.03560089,26.95652174,1.91,50.68,11.72,55.88857499,27.037,31.02,29.16,46.2198366,44.20629917,17.49,15.65217391,55.6159478,48.52764072,6.594878032,6.561570567,31.13043478,2.603241328,11.72296939,4.685834391,47.95880075,8.178815852,21.8,29.63887117,14.99
FA10,20.66913479,25.53729456,4.47,31.84,28.86,50.92886921,19.169,33.08,26.44,35.96766632,32.12946441,34.26,24.02022756,53.716946,35.68738281,14.02265168,1.768622734,25.66371681,4.926877616,37.73197245,13.3910007,34.85334964,25.46443461,8.57,13.3086553,15.83
FA7,15.66101695,32.43243243,3.51,56.14,41.23,38.36732456,25.463,55.26,30.7,45.55800792,48.44142615,45.61,16.75675676,54.93503289,40.98327851,4.265293865,3.148986486,30.81081081,1.066323466,27.03152412,9.596911197,53.63157895,4.359923246,42.11,9.205492589,11.4
FABP4,10.24951267,8.771929825,0,48.94,17.02,48.8662614,1.793,17.02,0,26.78723404,37.09001637,31.91,0,57.36474164,14.87234043,3.452891488,9.988721805,24.56140351,6.905782976,0,1.726445744,33.65575559,0,2.13,0,29.79
FAK1,14.05820106,25,2,55,55,17.83309091,39.606,15,27,53.08043397,35.27497194,29,26.78571429,54.49,54.49,3.535064935,0,21.42857143,3.535064935,42.60127273,5.302597403,54.42424242,15.85163636,5,22.49917328,19
FGFR1,1.730612245,0.462962963,2.16,1.44,2.16,30.71279606,1.535,0.76,42.45,1.124031008,0,3.6,1.851851852,61.42559211,34.99830248,0.876984127,2.302083333,0.925925926,1.31547619,54.99733247,0,0.899224806,49.2833239,0.72,2.46961326,1.44
FKB1A,3.357116244,13.91941392,0,31.53,11.71,51.47717718,14.838,0,3.6,17.9783173,17.07940144,25,3.663003663,53.25225225,53.25225225,1.459436738,2.153846154,11.72161172,1.824295923,29.28873874,0.364859185,43.74723876,31.95135135,9.91,2.961660562,7.21
FNTA,5.072219035,1.275045537,0.84,53.04,2.2,54.68981169,11.786,6.26,8.45,30.09112589,10.18120801,21.62,7.225258045,65.32394174,46.75641308,1.637179091,1.940360404,2.307225258,0.909543939,31.39600301,2.910540606,28.05488429,19.58030295,4.94,5.168815891,2.7
FPPS,0,15.78947368,0,0,0,92.18732026,43.455,1.18,38.82,48.95095836,1.165499009,91.76,29.18660287,99.18888889,0,23.87612388,0,15.78947368,0,0,0,85.08142763,0,1.18,36.58585859,0
GCR,9.42835443,9.60960961,0.78,9.3,15.5,25.9916584,7.23,7.63,15.5,16.27985026,17.90783529,6.98,16.51651652,45.7763536,37.2417792,8.070686071,1.195657196,7.507507508,4.184800185,21.7243712,0.896742897,13.56654189,10.8621856,15.12,18.96438299,15.12
GLCM,1.659597031,8.737864078,1.85,0,3.7,43.90883191,13.353,5.56,7.41,22.45299145,9.102564103,27.78,1.618122977,62.20417854,25.61348528,1.271690553,2.543381106,5.501618123,0,23.78395062,0,35.8034188,20.12488129,31.48,5.533822717,0
GRIA2,1.039975071,0.687285223,1.9,13.29,16.46,12.657173,2.424,7.59,18.35,1.471996826,4.415990479,14.56,3.092783505,46.83154008,12.02431435,0.34347079,0,0.343642612,5.495532646,9.492879747,0.686941581,0.841141044,10.1257384,8.23,12.09925207,10.76
GRIK1,1.986754967,9.868421053,0.99,42.57,35.64,40.27294222,5.291,19.8,12,42.39200039,23.47864637,29.7,3.947368421,62.86508054,38.30840845,3.909636223,2.606424149,15.78947368,5.212848297,9.822668834,3.258030186,52.82695434,28.48573962,6.93,8.583267871,4
HDAC2,10.52654867,17.82608696,2.7,55.14,53.51,30.76679537,41.539,16.3,3.78,4.976923077,18.24871795,16.76,12.17391304,56.67567568,56.67567568,6.929358178,9.437981952,5.217391304,5.197018634,56.67567568,1.299254658,10.50683761,56.13590734,12.97,3.059573579,11.89
HDAC8,17.56756757,21.875,1.76,62.94,60,62.45294118,47.317,12.94,16.47,55.59028262,17.04227642,10,11.16071429,62.45294118,44.94277075,0,0,17.41071429,1.339159367,62.45294118,0,38.75089044,53.69785596,5.29,3.604421769,20
HIVINT,0.974590462,2.369668246,0,0,0,0,1.439,4,0,7.635771144,0.995970149,9,4.739336493,0,0,0.945669345,1.864319567,6.161137441,0,0,0,6.307810945,0,3,0.958739894,2
