tid,DeepDTA,Denvis-G,Denvis-R,DrugCLIP,GNINA,GenScore,Glide SP,LigUnity,LigUnity(seq),Pocket-DTA,Sequece-DTA
ADRB2,0.37,0.6,0.51,0.5203576022290431,0.52,0.577162064282963,0.657609044520257,0.6824940494083073,0.655046483431284,0.6002215854920591,0.6417566261447223
ALDH1,0.58,0.54,0.52,0.5362266064930249,0.6,0.574515119552944,0.584090027240669,0.5726191768233458,0.516848679706671,0.5281016662244082,0.5495281933368432
ESR1_AGO,0.66,0.66,0.62,0.7083069205964275,0.71,0.59835489604431,0.581524959010182,0.5740015985447787,0.6010114929857278,0.5475980486729262,0.49308215968911184
ESR1_ANT,0.63,0.52,0.57,0.5739366698771777,0.72,0.662357141724919,0.630800521502052,0.49066378117852644,0.4863296036021113,0.5985029548508543,0.4925583736627841
FEN1,0.49,0.58,0.51,0.5832684846298102,0.55,0.601209473306731,0.615394035494201,0.7785687683522683,0.7483638673494752,0.6777371406043046,0.6479490225157044
GBA,0.55,0.46,0.4,0.5651101487448063,0.71,0.630370250813964,0.568305222023027,0.47891149891828344,0.5776393391569818,0.5811429215750971,0.5538784954843763
IDH1,0.7,0.46,0.6,0.6166782206344062,0.69,0.614476512399169,0.4221068036477,0.5831167407021637,0.5539605034216643,0.5064420280520973,0.4810497208848716
KAT2A,0.48,0.39,0.47,0.5434234395559171,0.41,0.385514757698575,0.473128248158575,0.58400081441721,0.5827174954977324,0.47970694074614617,0.4733856681819203
MAPK1,0.58,0.61,0.64,0.5374707012986163,0.62,0.653732237786749,0.558814166002928,0.5749182337661551,0.5089131948052339,0.5663335064934184,0.5458900779220727
MTORC1,0.47,0.57,0.61,0.48377192269353164,0.49,0.510359826290181,0.518940469326676,0.5686877713172597,0.5567304216885748,0.6216455449232693,0.545121383842006
OPRK1,0.69,0.82,0.7,0.5806917953383359,0.8,0.636643634509772,0.54220607747502,0.6497547066062586,0.46465597138079134,0.6363766396655188,0.5246753106328185
PKM2,0.57,0.49,0.53,0.5931545256516688,0.61,0.605042870857071,0.616951890946588,0.49943494799218674,0.5244507438249524,0.47405662288509864,0.45633141416509393
PPARG,0.68,0.76,0.74,0.8055733276462408,0.76,0.848608475423545,0.75883991840622,0.8558896708608733,0.8008032985000155,0.7488732494490518,0.7096111466552691
TP53,0.57,0.52,0.52,0.39340423722636597,0.56,0.635080824768985,0.607935081027235,0.44586238732719446,0.4257270584805264,0.5918420029641024,0.5923157754075543
VDR,0.42,0.57,0.52,0.5341441961016387,0.39,0.402542463796414,0.441318831404559,0.5031598490504027,0.4417319075795546,0.6235709128411302,0.6177458774895139
