tid,DeepDTA,Denvis-G,Denvis-R,DrugCLIP,GNINA,GenScore,Glide SP,LigUnity,LigUnity(seq),Pocket-DTA,Sequece-DTA
ADRB2,0.0,0.19,0.03,0.11698512954103096,0.01,0.158186548926868,0.0970981413542328,0.16073940205948925,0.13084087221823823,0.11274909651368198,0.021503116760894034
ALDH1,0.08,0.07,0.06,0.06081742477360953,0.09,0.0921843396804462,0.0964719821241077,0.09768318141264401,0.07425830758664939,0.04391031546425939,0.053488114329399775
ESR1_AGO,0.02,0.1,0.07,0.12696967115753086,0.12,0.11481188313226,0.0880155773021416,0.23988177545342845,0.23044596946998663,0.04128470058728321,0.04491442916715236
ESR1_ANT,0.04,0.04,0.01,0.0810733393413565,0.12,0.0691290486902308,0.0570586065601814,0.06769016875450605,0.06115861588804744,0.07075208204154193,0.04633816769196035
FEN1,0.01,0.04,0.04,0.017887761407970878,0.02,0.0690262483924125,0.0812254905164817,0.07052456319333732,0.05604770208215004,0.06088334633683754,0.046014848240542756
GBA,0.03,0.03,0.02,0.04326618026742012,0.1,0.0356268988611533,0.0498079888734571,0.04650024913671595,0.03879202033663551,0.06526241087815275,0.06591526445006658
IDH1,0.06,0.01,0.04,0.037898616975141866,0.12,0.0531247844550581,0.00622410006451472,0.0005198795735599405,0.009415139362134239,7.926893394695658e-05,0.0006017998769593734
KAT2A,0.02,0.01,0.02,0.012722261139538338,0.02,0.0126056586008661,0.0118138183787516,0.017958236198964233,0.021005005595173615,0.011497966325517934,0.009809263112786026
MAPK1,0.02,0.05,0.03,0.03356845423064001,0.02,0.0624648460140486,0.0362643939371846,0.04473252041913095,0.020001145110331738,0.048050021219234,0.039963241509068506
MTORC1,0.01,0.01,0.01,0.017387606845877805,0.01,0.00853965083322884,0.0125000414550721,0.05919822434822972,0.032806998814671195,0.026211976566075844,0.02733543439768261
OPRK1,0.03,0.01,0.03,0.023989597231042253,0.07,0.0156184177695669,0.0117748728882093,0.09275433763493407,0.08360714653093747,0.08306371855782974,0.08293856292306245
PKM2,0.01,0.01,0.01,0.00895702191916682,0.01,0.018781025843,0.03195532228021,0.0046770839493282534,0.0013522118092008089,0.009859806847772197,0.0065797388391539546
PPARG,0.0,0.15,0.0,0.32713561180881007,0.06,0.24043851587993,0.251043770438507,0.39049003955811057,0.3341360032325754,0.10479605463376741,0.07472190791601879
TP53,0.04,0.04,0.02,9.770031606729086e-05,0.03,0.0186275850052989,0.0463808318168609,0.006385320078200112,0.0051530615747312596,0.023997523218364278,0.015390976937112647
VDR,0.01,0.05,0.03,0.027743218400142183,0.01,0.0123485727315819,0.0058967925763476,0.03420889734289991,0.020087911909776168,0.01844890075301245,0.01824820038529703
